"id","name","alias","small_description","menu_image","category_thumb","category_image","parent_id","seo_title","seo_keywords","seo_description","status","order","sale_start_date","sale_end_date","sale_percentage","sale_status","cdate","banner_id"
"1","NATZURA WOODS",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","2051157751-103343603-natzura-logo-img.jpg",,,"0","Natzura Woods | American Walnut Veneer | Fascinating Range of Decorative Natural Veneers - Century Veneers","NATZURA WOODS","American Walnut veneer - Century Veneers offers best decorative natural veneer handpicked from exotic forests of Europe, South East Asia, Africa and the Americas.","1","2","0000-00-00","0000-00-00",,"0","2017-07-07 06:59:24","1"
"2","SENZURA STYLES",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","1556533059-205231221-senzura-logo-img.jpg",,,"0","Reconstituted Veneers | Senzura Styles - Century Veneers","SENZURA STYLES","Senzura Styles - A wide range of environment friendly reconstituted veneers from Century Veneers from the house of CenturyPly.","1","1","0000-00-00","0000-00-00",,"0","2017-07-07 06:59:50","1"
"3","Glow",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","1741557390-glow.jpg","thumbnails_ver_2-final-09.jpg","1801156965-glow.jpg","1","Natzura Woods Glow Veneer","Glow","Natzura Woods Glow Veneer - Get Natzura woods Glow veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","2","9","0000-00-00","0000-00-00",,"0","2017-07-07 07:00:12","1"
"4","Canvas",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","691301893-canvas.jpg","thumbnails_ver_2-final-10.jpg","353327213-canvas.jpg","1","Natzura Woods Canvas Veneer","Canvas","Natzura Woods Canvas Veneer - Get Natzura woods canvas veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","10","0000-00-00","0000-00-00",,"0","2017-07-07 07:15:41","1"
"5","Era",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","927940900-era.jpg","thumbnails_ver_2-final-07.jpg","865602394-era.jpg","1","Natzura Woods Era Veneer","Era","Natzura Woods Era Veneer - Get Natzura woods era veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","7","0000-00-00","0000-00-00",,"0","2017-07-07 07:16:22","1"
"6","Shimmer",,"Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.",,"thumbnails_ver_2-final-08.jpg","1418163805-shimmer--.jpg","1","Natzura Woods Shimmer Veneer","Shimmer","Natzura Woods Shimmer Veneer - Get Natzura woods shimmer veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","8","0000-00-00","0000-00-00",,"0","2017-07-07 07:16:45","1"
"7","Elite",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","1921875997-elite.jpg","thumbnails_ver_2-final-11.jpg","1694632064-elite.jpg","1","Natzura Woods Elite Veneer","Elite","Natzura Woods Elite Veneer - Get Natzura woods elite veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","11","0000-00-00","0000-00-00",,"0","2017-07-07 07:17:12","1"
"8","Light",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","1216635369-light.jpg","thumbnails_ver_2-final-05.jpg","276982664-light.jpg","1","Natzura Woods Light Veneer","Light","Natzura Woods Light Veneer - Get Natzura woods light veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","5","0000-00-00","0000-00-00",,"0","2017-07-07 07:17:39","1"
"9","Medium",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","2124995831-medium.jpg","thumbnails_ver_2-final-04.jpg","1999111544-medium.jpg","1","Natzura Woods Medium Veneer","Medium","Natzura Woods Medium Veneer - Get Natzura woods medium veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","4","0000-00-00","0000-00-00",,"0","2017-07-07 07:17:58","1"
"10","Dark",,"<p>Inspired from the vivid color palette offered by nature, Canvas is our new collection of veneers that will add vibrancy.</p>","2068743929-dark.jpg","thumbnails_ver_2-final-03.jpg","187768773-dark.jpg","1","Natzura Woods Dark Veneer","Dark","Natzura Woods Dark Veneer - Get Natzura woods dark veneer sheets from Century Veneers in India. Select veneer sheet according to your choice.","1","3","0000-00-00","0000-00-00",,"0","2017-07-07 07:18:31","1"
